"year","month","fleet","obs","logse"
"2014",7,NA,0.130518428947632,0.644021702738942
"2015",7,NA,0.00375024303460676,0.740943299212492
"2016",7,NA,0.143334596766033,0.584711938468343
"2017",7,NA,0.149827817804778,0.55863865682846
"2018",7,NA,0.0472232524817749,0.611668427502682
"2019",7,NA,0.175840350199611,0.525955558498295
"2021",7,NA,0.209311048690868,0.641171857555987
"2022",7,NA,0.0339602915504384,0.675871141277289
"2023",7,NA,0.238286834161032,0.608584869620547
"2024",7,NA,0.11061260708591,0.610800470598972
