"Label","Base","- No Indices","+ OCNMS","+ RREAS North","+ Oceanographic","+ RREAS Coastwide"
"TOTAL_like",1059.52,1052.06,1068.95,1054.29,1056.91,1171.86
"Survey_like",14.0967,8.76739,4.86013,10.7158,12.0267,102.127
"Length_comp_like",307.185,306.307,307.122,306.275,307.004,305.416
"Age_comp_like",752.288,751.92,753.281,752.185,752.123,767.039
"Recruitment_like",-15.1378,-15.2982,-4.84125,-15.2268,-15.137,-9.35627
"Forecast_Recruitment_like",0.841744,0.117667,8.29545,0.103376,0.651941,6.44062
"Parm_priors_like",0.244238,0.244175,0.228532,0.243198,0.244351,0.189514
"Recr_Virgin_millions",36.6299,37.0926,36.0772,37.0197,36.4308,34.4705
"SR_LN(R0)",10.5086,10.5212,10.4934,10.5192,10.5032,10.4479
"NatM_uniform_Fem_GP_1",0.156713,0.156709,0.155607,0.156641,0.156721,0.15272
"NatM_uniform_Mal_GP_1",-0.14268,-0.143265,-0.144287,-0.143163,-0.14244,-0.143878
"L_at_Amax_Fem_GP_1",52.9485,52.9481,52.9451,52.9473,52.9485,52.9495
"L_at_Amax_Mal_GP_1",-0.140328,-0.140364,-0.140283,-0.140338,-0.140323,-0.140084
"VonBert_K_Fem_GP_1",0.143084,0.143149,0.143357,0.143216,0.14307,0.143257
"VonBert_K_Mal_GP_1",0.350937,0.350813,0.350231,0.350669,0.351026,0.35023
"SmryBio_unfished",134984,136730,134987,136549,134222,133852
"SSB_Virgin",14.5951,14.7792,14.6645,14.7679,14.5144,14.7703
"SSB_2025",9.13025,9.42049,10.0187,9.39232,8.9993,9.84853
"Bratio_2025",0.625568,0.637415,0.683194,0.635995,0.620026,0.666779
"SPRratio_2024",0.637895,0.623556,0.600184,0.62494,0.644442,0.614793
"LnQ_base_WCGBTS(6)",-1.1118,-1.1273,-1.1588,-1.1246,-1.10448,-1.11638
